Application Number,Publication number,Title,Status,Country,Grant Date,Expiration date,size_family,number_citations,score
EP02380242,EP1317018,Anti-radar space-filling and/or multilevel chaff disperser,Inactive-Withdrawn,European Patent,,2005-03-18 00:00:00,99,107,1.041251666535958
ES200102675,ES2190749,Anti-radar space-filling and/or multilevel chaff disperser,Inactive-Abandoned,Spain,2004-06-16 00:00:00,2013-05-30 00:00:00,101,107,1.0453167071863643
US10305788,US20030137442,Anti-radar space-filling and/or multilevel chaff disperser,Inactive-Abandoned,United States,2005-04-05 00:00:00,2017-04-05 00:00:00,102,107,1.0473492275115677
CN01823873,CN1582515,Contactless identification device,Inactive-Withdrawn,China P.R.,,2007-09-05 00:00:00,25,25,0.7260541656863515
EP01984813,EP1451893,Contactless identification device,Inactive-Sold,European Patent,,2011-07-01 00:00:00,25,25,1.1427208323530182
US10858457,US20050161514,Contactless identification device,Inactive-Sold,United States,,2021-12-10 00:00:00,12,25,1.741298068125376
US11789724,US20080006703,Contactless identification device,Inactive-Sold,United States,2009-04-21 00:00:00,2021-12-10 00:00:00,11,25,1.7392655478001726
US12263718,US20090101722,Contactless identification device,Inactive-Sold,United States,,2021-12-10 00:00:00,11,26,1.7412751941024234
PCTEP0114453,WO03050913,Contactless identification device,Inactive-Nationalized,International,,,0,0,1.0416666666666667
CN02829214,CN1630962,Multiband antenna for handheld terminal,Inactive-Abandoned,China P.R.,,2005-06-14 00:00:00,75,75,0.9281624970590542
PI0215790,,Multiband antenna for handheld terminal,Inactive-Abandoned,Brazil,,2005-08-12 00:00:00,0,0,0.625
JP2004514603,,Multiband antenna for handheld terminal,Inactive-Abandoned,Japan,,2005-08-31 00:00:00,0,0,0.625
KR1020047020885,,Multiband antenna for handheld terminal,Inactive-Abandoned,South Korea,,2007-06-25 00:00:00,0,0,0.625
EP02748816,EP1516388,Multiband antenna for handheld terminal,Inactive-Abandoned,European Patent,,2013-02-05 00:00:00,75,75,0.9281624970590542
US13011160,US20120019416,Multiband antenna for handheld terminal,Inactive-Abandoned,United States,,2013-12-02 00:00:00,73,76,0.9261071027108985
US12316460,US20100149064,Multiband antenna for handheld terminal,Inactive-Abandoned,United States,2011-03-08 00:00:00,2015-03-08 00:00:00,70,75,0.917999895433038
US11021597,US20050259013,Multiband antenna for handheld terminal,Inactive-Expired,United States,2009-02-03 00:00:00,2023-01-19 00:00:00,32,76,2.0927737693775654
PCTEP0207002,WO2004001894,Multiband antenna for handheld terminal,Inactive-Nationalized,International,,,69,75,1.3326340417745013
JP2004522141,,Undersampled microstrip array using multilevel and space filling shaped elements,Inactive-Sold,Japan,,2005-10-25 00:00:00,0,0,1.0416666666666667
PI0215818,,Undersampled microstrip array using multilevel and space filling shaped elements,Inactive-Sold,Brazil,,2005-12-30 00:00:00,0,0,1.0416666666666667
CN02829211,,Undersampled microstrip array using multilevel and space filling shaped elements,Inactive-Sold,China P.R.,,2007-07-12 00:00:00,0,0,1.0416666666666667
EP02751139,EP1522125,Undersampled microstrip array using multilevel and space filling shaped elements,Inactive-Sold,European Patent,,2010-02-02 00:00:00,33,33,1.1750581653726506
US11036511,US20050128148,Undersampled microstrip array using multilevel and space filling shaped elements,Inactive-Sold,United States,2007-12-18 00:00:00,2022-11-17 00:00:00,10,33,1.9616435312263092
PCTEP0207835,WO2004010535,Undersampled microstrip array using multilevel and space filling shaped elements,Inactive-Sold,International,,,31,33,1.170993124722244
CN02829281,,Antenna with one or more holes (Multihole antenna),Inactive-Abandoned,China P.R.,,2005-10-07 00:00:00,0,0,0.625
PI0215817,,Antenna with one or more holes (Multihole antenna),Inactive-Abandoned,Brazil,,2006-03-01 00:00:00,0,0,0.625
JP2004522142,,Antenna with one or more holes (Multihole antenna),Inactive-Abandoned,Japan,,2008-02-20 00:00:00,0,0,0.625
EP02762359,EP1522123,Antenna with one or more holes (Multihole antenna),Inactive-Refused,European Patent,,2008-11-10 00:00:00,36,38,0.7745372911928478
JP2007287485,JP2008099310,Antenna with one or more holes (Multihole antenna),Inactive-Abandoned,Japan,,2009-01-19 00:00:00,0,0,0.625
EP08105740,EP2056398,Antenna with one or more holes (Multihole antenna),Inactive-Abandoned,European Patent,,2011-07-01 00:00:00,34,39,0.772481896844692
US13015901,US20120026045,Antenna with one or more holes (Multihole antenna),Inactive-Abandoned,United States,,2013-07-16 00:00:00,37,39,0.7785794578203018
US11036509,US20050156803,Antenna with one or more holes (Multihole antenna),Inactive-Expired,United States,30/12/2008,2022-07-15 00:00:00,22,39,1.7897583196089195
US12246964,US20090073067,Antenna with one or more holes (Multihole antenna),Inactive-Expired,United States,15/03/2011,2022-07-15 00:00:00,20,39,1.785693278958513
PCTEP0207836,WO2004010532,Antenna with one or more holes (Multihole antenna),Inactive-Nationalized,International,,,35,39,1.191181083836562
EP02751140,EP1522122,Notched-fed antenna,Inactive-Refused,European Patent,,2010-06-17 00:00:00,59,62,0.8695167699265417
EP10164741,EP2237375,Notched-fed antenna,Inactive-Withdrawn,European Patent,,2012-05-07 00:00:00,56,62,0.8634192089509319
US11796368,US20080129627,Notched-fed antenna,Inactive-Abandoned,United States,,2013-10-22 00:00:00,13,65,0.7820497738739445
US11033788,US2005116873,Notched-fed antenna,Inactive-Expired,United States,2008-03-11 00:00:00,2022-07-15 00:00:00,0,0,1.6666666666666665
PCTEP0207837,WO2004010531,Notched-fed antenna,Inactive-Nationalized,International,,,56,62,1.2800858756175986
JP2004535041,JP2005538623,Coupled multiband antennas,Inactive-Abandoned,Japan,,2007-12-17 00:00:00,55,55,0.8473191645099731
EP08152762,,Coupled multiband antennas,Inactive-Withdrawn,European Patent,,2008-04-09 00:00:00,0,0,0.625
KR20057003995,,Coupled multiband antennas,Inactive-Abandoned,South Korea,,2009-02-25 00:00:00,0,0,0.625
PI0215864,,Coupled multiband antennas,Inactive-Abandoned,Brazil,,2009-09-10 00:00:00,0,0,0.625
JP2007324545,JP2008113462,Coupled multiband antennas,Inactive-Abandoned,Japan,,2009-11-27 00:00:00,0,0,0.625
CN02829594,CN1669182,Coupled multiband antennas,Inactive-Abandoned,China P.R.,,2010-02-22 00:00:00,55,55,0.8473191645099731
EP02807795,EP1547194,Coupled multiband antennas,Inactive-Withdrawn,European Patent,,2010-07-06 00:00:00,55,55,0.8473191645099731
EP10167660,EP2230723,Coupled multiband antennas,Inactive-Withdrawn,European Patent,,2011-07-01 00:00:00,0,9,0.6430868167202572
US14627785,US20150162666,Coupled multiband antennas,Inactive-Abandoned,United States,,2016-09-29 00:00:00,55,55,0.8473191645099731
US16913561,US20200395666,Coupled multiband antennas,Inactive-Abandoned,United States,,2022-04-28 00:00:00,55,55,1.6806524978433064
US15050037,US20160172758,Coupled multiband antennas,Inactive-Expired,United States,2018-11-20 00:00:00,2022-09-10 00:00:00,53,55,1.884920790526233
US16164472,US20190288393,Coupled multiband antennas,Inactive-Expired,United States,2019-11-05 00:00:00,2022-09-10 00:00:00,55,55,1.8889858311766394
US16584026,US20200099133,Coupled multiband antennas,Inactive-Expired,United States,2020-08-04 00:00:00,2022-09-10 00:00:00,55,55,1.8889858311766394
US11075980,US20050195124,Coupled multiband antennas,Inactive-Expired,United States,2008-01-01 00:00:00,2022-10-09 00:00:00,42,56,1.8645727132512482
US11950835,US20080129630,Coupled multiband antennas,Inactive-Expired,United States,2015-03-31 00:00:00,2022-10-09 00:00:00,32,56,1.8442475099992155
PCTEP0211355,WO2004025778,Coupled multiband antennas,Inactive-Nationalized,International,,,49,55,1.2517907092254201
INPCT1960DELNP2005,,Integrated circuit package including miniature antenna,Inactive-Abandoned,India,,2005-09-08 00:00:00,0,0,0.625
CN02830136,,Integrated circuit package including miniature antenna,Inactive-Abandoned,China P.R.,,2006-03-27 00:00:00,0,0,0.625
KR1020057008116,,Integrated circuit package including miniature antenna,Inactive-Abandoned,South Korea,,2006-04-06 00:00:00,0,0,0.625
EP02774773,EP1563570,Integrated circuit package including miniature antenna,Inactive-Withdrawn,European Patent,,2009-01-28 00:00:00,157,157,1.2596201605102868
JP20040548700,JP2006505973,Integrated circuit package including miniature antenna,Inactive-Abandoned,Japan,,2009-01-30 00:00:00,157,157,1.2596201605102868
JP2008197295,JP2008259250,Integrated circuit package including miniature antenna,Inactive-Abandoned,Japan,,2009-04-06 00:00:00,0,0,0.625
US15673164,US20170358862,Integrated circuit package including miniature antenna,Inactive-Expired,United States,2018-08-21 00:00:00,2022-11-07 00:00:00,154,157,2.295189266201344
US16041382,US20180331427,Integrated circuit package including miniature antenna,Inactive-Expired,United States,2019-06-11 00:00:00,2022-11-07 00:00:00,157,157,2.3012868271769533
US16396334,US20200028264,Integrated circuit package including miniature antenna,Inactive-Expired,United States,2020-05-05 00:00:00,2022-11-07 00:00:00,154,157,2.295189266201344
US11040622,US20060033664,Integrated circuit package including miniature antenna,Inactive-Expired,United States,2006-08-22 00:00:00,2022-11-07 00:00:00,152,157,2.291124225550937
US11488107,US20060256018,Integrated circuit package including miniature antenna,Inactive-Expired,United States,2008-12-09 00:00:00,2022-11-07 00:00:00,125,157,2.2362461767704493
US12240088,US20090085810,Integrated circuit package including miniature antenna,Inactive-Expired,United States,2012-06-19 00:00:00,2022-11-07 00:00:00,100,160,2.19146210754712
US14733311,US20150303575,Integrated circuit package including miniature antenna,Inactive-Expired,United States,2017-09-12 00:00:00,2022-11-07 00:00:00,155,157,2.297221786526547
US13475419,US20120249380,Integrated circuit package including miniature antenna,Granted,United States,2015-07-07 00:00:00,2023-12-14 00:00:00,154,157,2.9201892662013442
PCTEP0212427,WO2004042868,Integrated circuit package including miniature antenna,Inactive-Nationalized,International,,,152,157,1.666124225550937
US16832867,US20200295462,Integrated circuit package including miniature antenna,Inactive-Expired,United States,,2022-11-07 00:00:00,157,157,2.3012868271769533
BR2002EP14706,BR0215993,Multiband monopole antenna for a mobile communications device,Inactive-Abandoned,Brazil,,2005-10-10 00:00:00,205,205,1.4536441586280813
JP2004561113,JP2006510321,Multiband monopole antenna for a mobile communications device,Inactive-Abandoned,Japan,,2009-01-21 00:00:00,186,205,1.4150262724492197
JP2008003837,JP2008141780,Multiband monopole antenna for a mobile communications device,Inactive-Abandoned,Japan,,2009-01-21 00:00:00,0,0,0.625
CN02830077,CN1720639,Multiband monopole antenna for a mobile communications device,Inactive-Abandoned,China P.R.,,2009-03-13 00:00:00,205,205,1.4536441586280813
EP02808265,EP1586133,Multiband monopole antenna for a mobile communications device,Inactive-Withdrawn,European Patent,,2010-11-10 00:00:00,205,205,1.4536441586280813
EP10180818,EP2273611,Multiband monopole antenna for a mobile communications device,Inactive-Abandoned,Spain,2012-02-08 00:00:00,2013-12-12 00:00:00,198,205,1.4394165163516588
EP10180818,,Multiband monopole antenna for a mobile communications device,Inactive-Abandoned,Italy,2012-02-08 00:00:00,2013-12-22 00:00:00,0,0,0.625
EP10180818,EP2273611,Multiband monopole antenna for a mobile communications device,Inactive-Abandoned,France,2012-02-08 00:00:00,2013-12-31 00:00:00,198,205,1.4394165163516588
EP10180818,DE60242208,Multiband monopole antenna for a mobile communications device,Inactive-Abandoned,Germany,2012-02-08 00:00:00,2014-07-01 00:00:00,0,0,0.625
EP10180818,EP2273611,Multiband monopole antenna for a mobile communications device,Inactive-Abandoned,European Patent,2012-02-08 00:00:00,2014-07-01 00:00:00,198,205,1.4394165163516588
KR1020057011265,KR0806654,Multiband monopole antenna for a mobile communications device,Inactive-Abandoned,South Korea,18/02/2008,2018-08-18 00:00:00,0,0,0.625
KR1020077021936,KR0859580,Multiband monopole antenna for a mobile communications device,Inactive-Abandoned,South Korea,16/09/2008,2020-03-16 00:00:00,0,0,1.0416666666666665
US11713324,US20070152894,Multiband monopole antenna for a mobile communications device,Inactive-Expired,United States,22/07/2008,2022-12-22 00:00:00,145,208,2.3793885446893053
US11124768,US20050259031,Multiband monopole antenna for a mobile communications device,Inactive-Expired,United States,2008-08-12 00:00:00,2022-12-22 00:00:00,165,207,2.4180293048911197
US12055748,US20080211722,Multiband monopole antenna for a mobile communications device,Inactive-Expired,United States,2010-03-09 00:00:00,2022-12-22 00:00:00,187,206,2.46073510574334
US12652974,US20100123642,Multiband monopole antenna for a mobile communications device,Inactive-Expired,United States,28/08/2012,2022-12-22 00:00:00,114,214,2.3284382924215095
US13029382,US2012044124,Multiband monopole antenna for a mobile communications device,Inactive-Expired,United States,2012-09-04 00:00:00,2022-12-22 00:00:00,0,0,1.6666666666666665
US13556626,US20120287001,Multiband monopole antenna for a mobile communications device,Inactive-Expired,United States,18/03/2014,2022-12-22 00:00:00,204,205,2.493278304969545
PCTEP0214706,WO2004057701,Multiband monopole antenna for a mobile communications device,Inactive-Nationalized,International,,,195,205,1.8499856220427158
EP03815361,EP1586134,Broadside high-directivity microstrip patch antenna,Inactive-Sold,European Patent,,2009-08-01 00:00:00,60,60,1.2841966643139102
US11186538,US20050285795,Broadside high-directivity microstrip patch antenna,Inactive-Sold,United States,2008-09-09 00:00:00,2023-01-24 00:00:00,23,62,2.254679371552558
US12204492,US20090046015,Broadside high-directivity microstrip patch antenna,Inactive-Sold,United States,2011-09-27 00:00:00,2023-05-20 00:00:00,18,62,2.2445167699265416
PCTEP0300757,WO2004066437,Broadside high-directivity microstrip patch antenna,Inactive-Sold,International,,,59,60,1.2821641439887068
EP03815944,32121BE2008,Miniature antenna having a volumetric structure,Inactive-Abandoned,Italy,2008-08-20 00:00:00,2010-02-19 00:00:00,0,0,0.625
EP03815944,EP1597794,Miniature antenna having a volumetric structure,Inactive-Abandoned,Finland,2008-08-20 00:00:00,2010-02-19 00:00:00,84,84,0.9645419967061407
EP03815944,EP1597794,Miniature antenna having a volumetric structure,Inactive-Abandoned,France,2008-08-20 00:00:00,2010-03-01 00:00:00,84,84,0.9645419967061407
EP08000506,EP1912280,Miniature antenna having a volumetric structure,Inactive-Withdrawn,European Patent,,2011-08-26 00:00:00,82,84,0.9604769560557341
EP03815944,EP1597794,Miniature antenna having a volumetric structure,Inactive-Sold,Germany,2008-08-20 00:00:00,2023-02-19 00:00:00,84,84,2.422875330039474
EP03815944,EP1597794,Miniature antenna having a volumetric structure,Inactive-Sold,Great Britain,2008-08-20 00:00:00,2023-02-19 00:00:00,84,84,2.422875330039474
EP03815944,EP1597794,Miniature antenna having a volumetric structure,Inactive-Expired,Spain,2008-08-20 00:00:00,2023-02-19 00:00:00,84,84,2.214541996706141
US13400895,US20120212385,Miniature antenna having a volumetric structure,Inactive-Expired,United States,26/11/2013,2023-02-19 00:00:00,82,84,2.210476956055734
EP03815944,EP1597794,Miniature antenna having a volumetric structure,Inactive-Validated,European Patent,2008-08-20 00:00:00,2023-02-19 00:00:00,84,84,2.422875330039474
US12364066,US20090167612,Miniature antenna having a volumetric structure,Inactive-Expired,United States,2012-04-03 00:00:00,2023-03-26 00:00:00,30,84,2.104785899145165
US11202881,US20060082505,Miniature antenna having a volumetric structure,Inactive-Sold,United States,2009-03-17 00:00:00,2023-07-08 00:00:00,32,84,2.317184273128905
PCTEP0301695,WO2004075342,Miniature antenna having a volumetric structure,Inactive-Nationalized,International,,,77,84,1.3669810210963846
US60540450,,Multiband monopole antennas for mobile communications devices,Inactive-Expired,United States,,2005-01-30 00:00:00,0,0,0.8333333333333333
EP05707076,EP1709704,Multiband monopole antennas for mobile communications devices,Inactive-Withdrawn,European Patent,,2012-04-13 00:00:00,205,205,1.4536441586280813
US13874914,US20130249768,Multiband monopole antennas for mobile communications devices,Inactive-Abandoned,United States,,2014-02-05 00:00:00,205,205,1.4536441586280813
US10584442,US20070046548,Multiband monopole antennas for mobile communications devices,Inactive-Expired,United States,2008-09-09 00:00:00,2022-12-22 00:00:00,165,207,2.4180293048911197
US12228487,US20090033561,Multiband monopole antennas for mobile communications devices,Granted,United States,2013-06-04 00:00:00,2025-11-24 00:00:00,122,221,3.192099312472224
PCTEP2005000880,WO2005076407,Multiband monopole antennas for mobile communications devices,Inactive-Nationalized,International,,,199,205,1.8581157033435285
US60540448,,Multiband monopole antennas for mobile network communication devices,Inactive-Expired,United States,,2005-01-30 00:00:00,0,0,0.8333333333333333
EP05707075,EP1714353,Multiband monopole antennas for mobile network communication devices,Inactive-Withdrawn,European Patent,,2009-08-01 00:00:00,81,81,0.9524154968237786
US10587119,US20070152887,Multiband monopole antennas for mobile network communication devices,Granted,United States,26/08/2008,2024-01-30 00:00:00,54,83,2.7765567406477927
PCTEP2005000879,WO2005076409,Multiband monopole antennas for mobile network communication devices,Inactive-Nationalized,International,,,74,82,1.3568641675162731
US60548050,,Handset with electromagnetic bra,Inactive-Expired,United States,,2005-02-26 00:00:00,0,0,0.8333333333333333
EP05715588,EP1719202,Handset with electromagnetic bra,Inactive-Withdrawn,European Patent,,2008-08-19 00:00:00,34,34,0.7624336653334379
US10588640,US20070159401,Handset with electromagnetic bra,Granted,United States,25/11/2008,2024-02-26 00:00:00,11,34,2.5906856978537633
PCTEP2005002075,WO2005083833,Handset with electromagnetic bra,Inactive-Nationalized,International,,,29,35,1.1709473766763392
US60567615,,Handset with electromagnetic bra (update),Inactive-Expired,United States,,2005-05-03 00:00:00,0,0,0.8333333333333333
EP04731351,EP1745418,Radio frequency system in package including antenna,Inactive-Abandoned,European Patent,,2009-09-02 00:00:00,8,8,0.6573373330196325
US11556455,US20070120742,Radio frequency system in package including antenna,Inactive-Expired,United States,2010-09-07 00:00:00,2022-11-07 00:00:00,104,160,2.1995921888479333
US12845230,US20100328185,Radio frequency system in package including antenna,Inactive-Expired,United States,16/04/2013,2022-11-07 00:00:00,74,162,2.1426358716963376
PCTEP2004004851,WO2005109330,Radio frequency system in package including antenna,Inactive-Nationalized,International,,,0,8,1.057743837084673
US60590695,,Antenna in package with reduced electromagnetic interaction with on chip elements,Inactive-Expired,United States,,2005-07-23 00:00:00,0,0,0.8333333333333333
EP05761383,EP1771919,Antenna in package with reduced electromagnetic interaction with on chip elements,Inactive-Abandoned,European Patent,,2009-03-24 00:00:00,117,117,1.0979334954121245
US13673750,US20130313692,Antenna in package with reduced electromagnetic interaction with on chip elements,Inactive-Abandoned,United States,,2014-03-22 00:00:00,117,117,1.0979334954121245
US11572380,US2008265038,Antenna in package with reduced electromagnetic interaction with on chip elements,Granted,United States,2012-12-11 00:00:00,2027-12-06 00:00:00,0,0,2.5
PCTEP2005008032,WO2006008180,Antenna in package with reduced electromagnetic interaction with on chip elements,Inactive-Nationalized,International,,,112,117,1.5044375604527749
US60606038,,Slim multiband antenna array for cellular base stations,Inactive-Sold,United States,,2005-08-31 00:00:00,0,0,1.0416666666666667
EP05783771,EP1784894,Slim multiband antenna array for cellular base stations,Inactive-Sold,European Patent,,2009-06-04 00:00:00,101,101,1.4499254960395263
US11660802,US20080062062,Slim multiband antenna array for cellular base stations,Inactive-Sold,United States,2011-01-11 00:00:00,2026-08-22 00:00:00,75,101,2.6470799675842422
PCTEP2005009376,WO2006024516,Slim multiband antenna array for cellular base stations,Inactive-Sold,International,,,98,101,1.4438279350639167
EP05103226,,Slim stacked dual band antenna array for cellular base stations,Inactive-Sold,European Patent,,2006-04-21 00:00:00,0,0,1.0416666666666667
US60678569,,Slim stacked dual band antenna array for cellular base stations,Inactive-Sold,United States,,2006-05-06 00:00:00,0,0,1.0416666666666667
US60611889,,Multilevel ground plane for a mobile device,Inactive-Expired,United States,,2005-09-21 00:00:00,0,0,0.8333333333333333
EP05796382,EP1792363,Multilevel ground plane for a mobile device,Inactive-Abandoned,European Patent,,2009-02-09 00:00:00,65,65,0.8877408307845136
US11662044,US20080074332,Multilevel ground plane for a mobile device,Inactive-Abandoned,United States,2011-04-19 00:00:00,2015-04-19 00:00:00,43,66,0.845035029932293
PCTEP2005010131,WO2006032455,Multilevel ground plane for a mobile device,Inactive-Nationalized,International,,,61,65,1.2962774161503674
US60613394,,Tunable antenna,Inactive-Expired,United States,,2005-09-27 00:00:00,0,0,0.8333333333333333
EP05784662,EP1810369,Tunable antenna,Inactive-Abandoned,European Patent,,2009-01-26 00:00:00,99,99,1.0251744961179514
US11576015,US2008062049,Tunable antenna,Granted,United States,2011-04-12 00:00:00,2027-02-15 00:00:00,0,0,2.5
PCTEP2005054297,WO2006034940,Tunable antenna,Inactive-Nationalized,International,,,96,99,1.4357436018090084
US60640380,,IC package including antenna and integration methods,Inactive-Expired,United States,,2005-12-30 00:00:00,0,0,0.8333333333333333
US60627653,,Antenna structure for a wireless device with a ground plane shaped as a loop,Inactive-Expired,United States,,2005-11-12 00:00:00,0,0,0.8333333333333333
EP05807970,EP1810368,Antenna structure for a wireless device with a ground plane shaped as a loop,Inactive-Abandoned,European Patent,,2009-06-03 00:00:00,49,49,0.8230661647452487
US12834177,US20100302122,Antenna structure for a wireless device with a ground plane shaped as a loop,Granted,United States,13/12/2011,2024-11-12 00:00:00,24,50,2.649262802917418
US13282767,US20120038536,Antenna structure for a wireless device with a ground plane shaped as a loop,Granted,United States,23/07/2013,2024-11-12 00:00:00,46,50,2.6939782500718894
US13925184,US20140002321,Antenna structure for a wireless device with a ground plane shaped as a loop,Granted,United States,2015-06-09 00:00:00,2024-11-12 00:00:00,48,49,2.6960336444200457
US14694603,US20150229022,Antenna structure for a wireless device with a ground plane shaped as a loop,Granted,United States,2022-03-15 00:00:00,2025-06-28 00:00:00,44,49,2.6879035631192325
US11719151,US20070252773,Antenna structure for a wireless device with a ground plane shaped as a loop,Granted,United States,24/08/2010,2026-06-15 00:00:00,30,50,2.6614579248686376
PCTEP2005055959,WO2006051113,Antenna structure for a wireless device with a ground plane shaped as a loop,Inactive-Nationalized,International,,,43,49,1.2275377094606958
US17665026,US20220158339,Antenna structure for a wireless device with a ground plane shaped as a loop,Filed,United States,,,49,49,1.031399498078582
US60640645,,Shaped ground plane for radio apparatus,Inactive-Expired,United States,,2005-12-30 00:00:00,0,0,0.8333333333333333
EP05850506,EP1831955,Shaped ground plane for radio apparatus,Inactive-Abandoned,European Patent,,2009-11-16 00:00:00,46,46,0.8109396648628866
US13044689,US20110156975,Shaped ground plane for radio apparatus,Inactive-Abandoned,United States,,2013-09-03 00:00:00,17,49,0.7580255143387447
US11793406,US20080231521,Shaped ground plane for radio apparatus,Granted,United States,2011-04-26 00:00:00,2026-11-17 00:00:00,19,49,2.6370905549891512
PCTEP2005057215,WO2006070017,Shaped ground plane for radio apparatus,Inactive-Nationalized,International,,,40,46,1.2154112095783338
EP05102942,,Antenna contacting assembly,Inactive-Abandoned,European Patent,,2006-04-15 00:00:00,0,0,0.625
US60678571,,Antenna contacting assembly,Inactive-Expired,United States,,2006-05-06 00:00:00,0,0,0.8333333333333333
EP06849393,EP1911122,Antenna contacting assembly,Inactive-Abandoned,European Patent,,2010-04-12 00:00:00,43,43,0.7988131649805243
US11886980,US20090213029,Antenna contacting assembly,Granted,United States,2012-06-05 00:00:00,2027-04-12 00:00:00,19,43,2.6250326771756463
PCTEP2006061564,WO2007098810,Antenna contacting assembly,Inactive-Nationalized,International,,,35,43,1.199219669045565
EP05104930,,Wireless implantable medical device,Inactive-Abandoned,European Patent,,2006-06-07 00:00:00,0,0,0.625
US60688596,,Wireless implantable medical device,Inactive-Expired,United States,,2006-06-08 00:00:00,0,0,0.8333333333333333
EP06743114,EP1890765,Wireless implantable medical device,Inactive-Abandoned,European Patent,,2010-04-30 00:00:00,10,10,0.6654216662745405
US11921537,US20090248112,Wireless implantable medical device,Granted,United States,2013-10-22 00:00:00,2027-09-25 00:00:00,7,10,2.5343241052989307
PCTEP2006005368,WO2006131302,Wireless implantable medical device,Inactive-Nationalized,International,,,5,10,1.071925731315191
EP05106694,,Handheld device with two antennas and method of enhancing the isolation between the antennas,Inactive-Abandoned,European Patent,,2006-07-21 00:00:00,0,0,0.625
US60702205,,Handheld device with two antennas and method of enhancing the isolation between the antennas,Inactive-Expired,United States,,2006-07-25 00:00:00,0,0,0.8333333333333333
EP06818234,EP1911124,Handheld device with two antennas and method of enhancing the isolation between the antennas,Inactive-Abandoned,European Patent,,2010-06-19 00:00:00,26,26,0.7300963323138054
US13341051,US20120098719,Handheld device with two antennas and method of enhancing the isolation between the antennas,Granted,United States,2013-01-29 00:00:00,2025-07-21 00:00:00,25,26,2.603063811988602
US13718348,US20130229317,Handheld device with two antennas and method of enhancing the isolation between the antennas,Granted,United States,2014-08-19 00:00:00,2025-07-21 00:00:00,25,26,2.603063811988602
US11988888,US20090262028,Handheld device with two antennas and method of enhancing the isolation between the antennas,Granted,United States,2012-02-14 00:00:00,2026-12-09 00:00:00,14,26,2.5807060884113664
PCTEP2006007050,WO2007028448,Handheld device with two antennas and method of enhancing the isolation between the antennas,Inactive-Nationalized,International,,,20,26,1.1345678770292527
EP05107095,,Antenna with inner spring contact,Inactive-Abandoned,European Patent,,2006-08-01 00:00:00,0,0,0.625
US60704542,,Antenna with inner spring contact,Inactive-Expired,United States,,2006-08-02 00:00:00,0,0,0.8333333333333333
EP06762906,EP1911121,Antenna with inner spring contact,Inactive-Abandoned,European Patent,,2010-06-22 00:00:00,13,13,0.6775481661569027
US11989435,US20090146906,Antenna with inner spring contact,Inactive-Abandoned,United States,2011-08-02 00:00:00,2019-08-02 00:00:00,10,13,0.8797839385146262
PCTEP2006007565,WO2007014737,Antenna with inner spring contact,Inactive-Nationalized,International,,,9,13,1.0860847515227565
EP05108616,,"Antenna set, portable wireless device and use of of a conductive element for tuning the ground-plane of the antenna set",Inactive-Abandoned,European Patent,,2006-09-19 00:00:00,0,0,0.625
US60718537,,"Antenna set, portable wireless device and use of of a conductive element for tuning the ground-plane of the antenna set",Inactive-Expired,United States,,2006-09-19 00:00:00,0,0,0.8333333333333333
EP06792100,EP1927156,"Antenna set, portable wireless device and use of of a conductive element for tuning the ground-plane of the antenna set",Inactive-Abandoned,European Patent,,2009-05-27 00:00:00,38,38,0.7786023318432542
US13369354,,"Antenna set, portable wireless device and use of of a conductive element for tuning the ground-plane of the antenna set",Inactive-Abandoned,United States,,2012-11-08 00:00:00,0,0,0.625
US12066897,US20080252536,"Antenna set, portable wireless device and use of of a conductive element for tuning the ground-plane of the antenna set",Inactive-Abandoned,United States,2011-03-08 00:00:00,2015-03-08 00:00:00,35,38,0.7725047708676445
US13014283,US20110175776,"Antenna set, portable wireless device and use of of a conductive element for tuning the ground-plane of the antenna set",Inactive-Abandoned,United States,2012-03-20 00:00:00,2016-03-20 00:00:00,17,38,0.7359194050139859
PCTEP06009019,WO2007039071,"Antenna set, portable wireless device and use of of a conductive element for tuning the ground-plane of the antenna set",Inactive-Nationalized,International,,,34,38,1.1871389172091078
EP 05109585,,Slim triple band antenna array for cellular base stations,Inactive-Sold,European Patent,,2006-10-14 00:00:00,0,0,1.0416666666666667
US60727981,,Slim triple band antenna array for cellular base stations,Inactive-Sold,United States,,2006-10-18 00:00:00,0,0,1.0416666666666667
EP06809112,EP1935057,Slim triple band antenna array for cellular base stations,Inactive-Sold,Spain,2012-02-01 00:00:00,2025-10-14 00:00:00,125,125,2.796937495098424
EP06809112,DE602006027461,Slim triple band antenna array for cellular base stations,Inactive-Sold,Germany,2012-02-01 00:00:00,2025-10-14 00:00:00,0,0,2.291666666666667
US13933636,US20140002326,Slim triple band antenna array for cellular base stations,Inactive-Sold,United States,2014-06-17 00:00:00,2025-10-14 00:00:00,125,125,2.796937495098424
US14282488,US20140253407,Slim triple band antenna array for cellular base stations,Inactive-Sold,United States,2016-09-20 00:00:00,2025-10-14 00:00:00,123,126,2.7948821007502684
US15232160,US20160352003,Slim triple band antenna array for cellular base stations,Inactive-Sold,United States,2019-02-19 00:00:00,2025-10-14 00:00:00,113,131,2.7846051290094898
EP06809112,EP1935057,Slim triple band antenna array for cellular base stations,Inactive-Sold,European Patent,2012-02-01 00:00:00,2025-10-14 00:00:00,125,125,2.796937495098424
